Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
JS1,28,JS_1,Canis lupus,JS1_28,2022-01-07 08:01:04,2022-01-07,08:01:04,44085,734,12.2,0.5,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/e9,e95ee9dd-396b-4ec4-88ff-b8a9ebad53f4.jpg
JS1,28,JS_1,Pecari tajacu,JS1_28,2022-01-18 04:56:09,2022-01-18,04:56:09,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/17,17dcc119-fe48-44ae-8654-bd17a155a43e.jpg
JS1,28,JS_1,Ortalis vetula,JS1_28,2022-01-19 07:56:47,2022-01-19,07:56:47,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/16,16381d70-e5e0-4cbc-980d-8a0aae606f9e.jpg
JS1,28,JS_1,Pecari tajacu,JS1_28,2022-01-19 07:56:47,2022-01-19,07:56:47,97238,1620,27.0,1.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/16,16381d70-e5e0-4cbc-980d-8a0aae606f9e.jpg
JS1,28,JS_1,Mazama temama,JS1_28,2022-01-20 03:26:28,2022-01-20,03:26:28,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/ab,ab8f69ff-cb68-4140-bdc4-8781109e4d7b.jpg
JS1,28,JS_1,Mazama temama,JS1_28,2022-01-20 18:27:10,2022-01-20,18:27:10,54042,900,15.0,0.6,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/b3,b389862f-f755-4db2-8b33-ae6ac11bf161.jpg
JS1,28,JS_1,ave generico,JS1_28,2022-01-23 18:04:13,2022-01-23,18:04:13,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/4f,4f25bd18-1a46-4c1f-920c-81d4d5184493.jpg
JS1,28,JS_1,Didelphis marsupialis,JS1_28,2022-01-28 21:55:11,2022-01-28,21:55:11,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/18,1843e81e-c5d4-46a7-957f-d7c5d96accc2.jpg
JS2,29,JS_2,Leopardus pardalis,JS2_29,2022-01-29 02:32:50,2022-01-29,02:32:50,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/d5,d50bb94b-1f95-4d7d-992a-61cce31d4f69.jpg
PN32,24,PN3_2,Urocyon cinereoargenteus,PN32_24,2022-01-31 04:22:32,2022-01-31,04:22:32,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/70,706beda7-0106-42c8-a7b6-90dd34e9c113.jpg
PN22,25,PN2_2,Ortalis vetula,PN22_25,2022-02-01 07:57:52,2022-02-01,07:57:52,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/19,192ef3d4-4bf2-44b4-a2f3-aa0750f10646.jpg
JS1,28,JS_1,Didelphis marsupialis,JS1_28,2022-02-02 00:12:08,2022-02-02,00:12:08,353817,5896,98.3,4.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/e4,e458cb87-e6ee-4535-aeb1-f831e102cce0.jpg
JS3,30,JS_3,Bassariscus sumichrasti,JS3_30,2022-02-02 19:49:48,2022-02-02,19:49:48,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/d0,d0277f1f-672d-429f-b968-b099d22cccc0.jpg
JS3,30,JS_3,Mazama temama,JS3_30,2022-02-02 20:58:09,2022-02-02,20:58:09,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/db,db796196-849f-4971-9843-329524d8b2c8.jpg
JS1,28,JS_1,Sciurus sp,JS1_28,2022-02-03 13:39:37,2022-02-03,13:39:37,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/c5,c530e322-33b8-4cee-9614-7f4262c3b75e.jpg
